Asset/SSE #,Serial#,Manuf,Model,,Model#,FMV,Cond,On Shelf,Processor Type,Processor Speed,Mem Size (Total),Mem Type,HDD Capacity,HDD Type,HDD Qty,Optical Drive,New OS Load Type,Screen Size,Case Color,Notes/Comments,Mono Page Count,Color Page Count,Total Page Count,Form Factor,price
1179405,MJ00FJF8,Lenovo,ThinkCentre M73,,10B4-B0D800,,B,8,Intel Pentium G3220 Dual Core,3.00 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179661,MJ00FJG7,Lenovo,ThinkCentre M73,,10B4-S0D800,,B,8,Intel Pentium G3220 Dual Core,3.00 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179937,MJ00FJGF,Lenovo,ThinkCentre M73,,10B4-B0D800,,B,8,Intel Pentium G3220 Dual Core,3.00 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1178964,2UA41814GF,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1178965,2UA4330H73,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1178966,2UA4090LJF,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1178967,2UA4261XKP,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,A,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1178968,2UA41814H0,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1178980,2UA4330H98,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,A,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1178981,2UA4330H9F,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,A,12,Intel Pentium G3420 Dual Core,3.20 Ghz,8 GB,"DDR3/1600, DDR3/1600",,,,,,,black,No OS Needed,,,,SFF,45
1178982,2UA4330HCN,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1178983,2UA4090LHW,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,No OS Needed,,,,SFF,45
1178984,2UA4090LH5,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1178985,2UA4261XJC,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179008,2UA4330H9C,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
